genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Drama,en,26.048,9000,78988.148,138,7.544,5548
Drama,en,26.033,40000,224920.315,121,7.346,10685
Comedy,en,26.021,26000,177378.645,116,6.4,5946
Drama,en,26.017,18000,26828.365,122,7.5,1328
Comedy,en,25.935,38000,105734.416,114,6.9,2872
Drama,en,25.921,16000,56032.889,113,7.1,3264
Drama,en,25.903,68000,75700,136,5.6,1538
Drama,en,25.872,11000,53939.297,120,7.513,5145
Comedy,en,25.863,19000,70067.909,95,6.514,2846
Comedy,en,25.815,4000,9304.609,104,6.8,1330
Drama,en,25.793,12000,101332.962,99,6.7,667
Drama,en,25.744,85000,71485.043,113,7.174,1961
Comedy,en,25.73,20000,33889.159,105,6.8,2604
Drama,en,25.726,38000,25754.775,133,7.373,1312
Drama,en,25.684,40000,22044.277,91,6.1,1117
Comedy,en,25.679,9000,18803.648,105,7.168,3890
Drama,en,25.674,19500,195333.312,123,7.2,11335
Drama,en,25.668,6000,21029.34,96,8.148,2491
Comedy,en,25.646,60000,127766.65,116,5.705,1411
Comedy,en,25.635,60000,62357.9,97,4.9,1652
Drama,fr,25.623,24350,2652.725,131,6.701,788
Comedy,en,25.576,4000,15656.193,118,7,5317
Comedy,en,25.571,70000,171844.84,113,5.5,1732
Drama,en,25.523,43000,47309.313,108,7.266,3157
Drama,en,25.5,15000,15121.165,112,7.2,2516
Drama,en,25.464,2000,10312.54,94,6.516,5400
Comedy,en,25.449,80000,169852.759,102,5.418,1444
Comedy,en,25.383,30000,296187.079,107,7.5,7819
Drama,en,25.374,20000,45056.771,101,5.7,1888
Drama,en,25.341,30000,59284.015,140,7.1,3303
Comedy,en,25.321,20000,17399,108,6.9,630
Comedy,en,25.27,30000,495.303,84,6.3,2339
Comedy,en,25.258,30000,238539.198,121,7.1,3218
Comedy,en,25.203,45000,212000,111,6.511,3396
Drama,en,25.151,5000,109280.263,110,7.6,3624
Comedy,en,25.149,19000,18755.936,109,6.312,1104
Drama,en,25.14,10000,28883.511,106,6.998,3170
Drama,en,25.094,3000,11500,134,6.5,162
Comedy,en,25.043,40000,196781.193,109,6.4,3256
Comedy,en,25.002,3000,13900,94,6.4,846
Drama,en,24.954,25000,354825.435,134,7.759,5501
Comedy,en,24.944,22000,13405.595,93,6.724,1400
Drama,en,24.943,6500,11850.214,105,6.925,1863
Comedy,en,24.876,70000,368100.42,118,6.5,5124
Comedy,en,24.863,19000,92884.429,103,6.3,810
Drama,en,24.855,40000,95020.213,128,7.1,1575
Comedy,en,24.819,79000,149673.788,91,4.318,1841
Drama,en,24.812,6000,214577.242,100,7.3,5376
Drama,en,24.743,33000,269958.228,116,8.001,9600
Drama,en,24.732,18500,6490.401,120,6.4,105
Comedy,en,24.717,34200,234801.895,93,6.5,2866
Comedy,en,24.709,23000,38505.009,93,6.376,1343
Comedy,en,24.708,45000,184724.494,93,6.563,3024
Comedy,en,24.672,37000,215394.738,108,6.5,3740
Drama,en,24.644,12600,19054.534,106,6.763,1913
Comedy,en,24.616,5500,159616.327,129,8.02,2192
Drama,en,24.562,40000,48350.205,127,7.6,3237
Drama,en,24.547,30000,156835.339,126,7.186,3034
Comedy,en,24.467,85000,194168.7,136,7.1,4395
Comedy,en,24.424,33000,77068.246,98,6.1,2257
Drama,en,24.412,100000,74500,156,7,1396
Drama,en,24.4,35000,159808.37,123,6.7,4102
Comedy,en,24.367,3000,25000,125,8.2,1885
Drama,en,24.358,52500,179213.434,128,7.594,4053
Comedy,en,24.358,20000,21972.336,98,6.726,1752
Comedy,en,24.342,45000,124914.842,95,5.6,1345
Drama,en,24.334,12000,22741.061,109,6.8,712
Comedy,en,24.321,20000,46089.287,109,6.79,4752
Drama,en,24.32,20000,19754.272,139,6.7,850
Drama,en,24.309,9000,2671.855,100,6.4,1030
Comedy,en,24.291,13000,73180.723,83,5.521,1594
Drama,en,24.288,1300,447.741,97,5.8,439
Comedy,en,24.255,45000,113916.474,100,6.228,1797
Drama,en,24.246,11000,32935.319,104,7.201,2541
Comedy,en,24.239,4400,245700.832,117,6.8,2314
Comedy,en,24.23,50000,242786.137,96,6.258,2808
Drama,en,24.107,16000,1575.749,100,6.1,861
Comedy,en,24.051,777,140000,110,7,1287
Comedy,en,24.045,15000,32704.7,90,5.8,510
Drama,en,24.038,102000,130482.868,172,6.869,6434
Drama,en,24.004,6500,98410.061,112,7.2,3211
Comedy,en,23.949,20000,13854,108,5.706,454
Comedy,en,23.904,8000,69821.334,111,6.2,1184
